Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Series,Part Status,Main Purpose,Outputs and Type,Power - Output,Voltage - Output,Current - Output,Voltage - Input,Regulator Topology,Frequency - Switching,Board Type,Supplied Contents,Utilized IC / Part
http://www.vicorpower.com/documents/user_guides/vichip/ug_ChiP_DCM_EvalBoard.pdf,-,1102-5440-ND,MDCD270P120M500A40,Vicor Corporation,EVAL BRD FOR MDCM270P120M500A40,3,0,635.85,0,1,VI Chip® DCM®,Active,"DC/DC, Step Down","1, Isolated",500W,12V,41.67A,160V ~ 420V,Buck,-,Fully Populated,Board(s),MDCM270P120M500A40
http://www.vicorpower.com/documents/datasheets/DCM4623xD2J13D0yzz_ds.pdf,//media.digikey.com/Photos/Vicor%20Corporation/DCD300P120T400A40.jpg,1102-5419-ND,DCD300P120T400A40,Vicor Corporation,EVAL BRD FOR DCM300P120T400A40,6,0,639.81,0,1,VI Chip® DCM®,Active,"DC/DC, Step Down","1, Isolated",400W,12V,33.4A,180V ~ 420V,Buck,-,Fully Populated,Board(s),DCM300P120x400A40
http://www.vicorpower.com/documents/datasheets/DCM4623xD2H26F0yzz_ds.pdf,//media.digikey.com/Photos/Vicor%20Corporation/DCD300P240T600A40.jpg,1102-5418-ND,DCD300P240T600A40,Vicor Corporation,EVAL BRD FOR DCM300P240T600A40,5,0,642.88,0,1,VI Chip® DCM®,Active,"DC/DC, Step Down","1, Isolated",600W,24V,25A,200V ~ 420V,Buck,-,Fully Populated,Board(s),DCM300P240x600A40
http://www.vicorpower.com/documents/datasheets/DCM3623x50M26C2yzz_ds.pdf,//media.digikey.com/Photos/Vicor%20Corporation/MFG_VI-CHIP-DCM-SERIES.jpg,1102-5422-ND,MDCD28AP240M320A50,Vicor Corporation,EVAL BRD FOR MDCM28AP240M320A50,2,0,648.79,0,1,VI Chip® DCM®,Active,"DC/DC, Step Down","1, Isolated",320W,24V,13.4A,16V ~ 50V,Buck,-,Fully Populated,Board(s),MDCM28AP240M320A50
http://www.vicorpower.com/documents/datasheets/DCM4623xD2H53E0yzz_ds.pdf,//media.digikey.com/Photos/Vicor%20Corporation/DCD300P480T500A40.jpg,1102-5416-ND,DCD300P480T500A40,Vicor Corporation,EVAL BRD FOR DCM300P480T500A40,12,0,652.68,0,1,VI Chip® DCM®,Active,"DC/DC, Step Down","1, Isolated",500W,48V,10.5A,200V ~ 420V,Buck,-,Fully Populated,Board(s),DCM300P480x500A40
http://www.vicorpower.com/documents/datasheets/DCM4623xD2H31E0yzz_ds.pdf,//media.digikey.com/Photos/Vicor%20Corporation/DCD300P280T500A40.jpg,1102-5417-ND,DCD300P280T500A40,Vicor Corporation,EVAL BRD FOR DCM300P280T500A40,5,0,652.74,0,1,VI Chip® DCM®,Active,"DC/DC, Step Down","1, Isolated",500W,28V,17.86A,200V ~ 420V,Buck,-,Fully Populated,Board(s),DCM300P280x500A40
http://www.vicorpower.com/documents/user_guides/vichip/ug_ChiP_DCM_EvalBoard.pdf,//media.digikey.com/Photos/Vicor%20Corporation/MDCD270P280M500A40.jpg,1102-5442-ND,MDCD270P280M500A40,Vicor Corporation,EVAL BRD FOR MDCM270P280M500A40,2,0,656.02,0,1,VI Chip® DCM®,Active,"DC/DC, Step Down","1, Isolated",500W,28V,17.86A,160V ~ 420V,Buck,-,Fully Populated,Board(s),MDCM270P280M500A40
http://www.vicorpower.com/documents/datasheets/DCM3623x50M13C2yzz_ds.pdf,//media.digikey.com/Photos/Vicor%20Corporation/MFG_VI-CHIP-DCM-SERIES.jpg,1102-5424-ND,MDCD28AP120M320A50,Vicor Corporation,EVAL BRD FOR MDCM28AP120M320A50,2,0,658.95,0,1,VI Chip® DCM®,Active,"DC/DC, Step Down","1, Isolated",320W,12V,26.67A,16V ~ 50V,Buck,-,Fully Populated,Board(s),MDCM28AP120M320A50
http://www.vicorpower.com/documents/datasheets/DCM3623x50M53C2yzz_ds.pdf,//media.digikey.com/Photos/Vicor%20Corporation/MFG_VI-CHIP-DCM-SERIES.jpg,1102-5420-ND,MDCD28AP480M320A50,Vicor Corporation,EVAL BRD FOR MDCM28AP480M320A50,2,0,663.88,0,1,VI Chip® DCM®,Active,"DC/DC, Step Down","1, Isolated",320W,48V,6.67A,16V ~ 50V,Buck,-,Fully Populated,Board(s),MDCM28AP480M320A50
http://www.vicorpower.com/documents/datasheets/DCM3623x50M31C2yzz_ds.pdf,//media.digikey.com/Photos/Vicor%20Corporation/MFG_VI-CHIP-DCM-SERIES.jpg,1102-5421-ND,MDCD28AP280M320A50,Vicor Corporation,EVAL BRD FOR MDCM28AP280M320A50,3,0,666.12,0,1,VI Chip® DCM®,Active,"DC/DC, Step Down","1, Isolated",320W,28V,11.43A,16V ~ 50V,Buck,-,Fully Populated,Board(s),MDCM28AP280M320A50
