Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Main Purpose","Outputs and Type","Power - Output","Voltage - Output","Current - Output","Voltage - Input","Regulator Topology","Frequency - Switching","Board Type","Supplied Contents","Utilized IC / Part"
http://www.ti.com/lit/pdf/slvuad2,//media.digikey.com/Photos/Texas%20Instr%20Photos/MFG_TPS630250EVM-668.jpg,296-42240-ND,TPS630250EVM-668,Texas Instruments,EVALUATION MODULE TPS630250,2,22,"50.88000","0","1","-","Active","DC/DC, Step Up or Down","1, Non-Isolated","-","3.3V","2A","2.5V ~ 5.5V","Buck-Boost","2.5MHz","Fully Populated","Board(s)","TPS63025x"
http://www.ti.com/lit/pdf/slvuac5,//media.digikey.com/Photos/Texas%20Instr%20Photos/MFG_TPS82085EVM-672.jpg,296-42243-ND,TPS82085EVM-672,Texas Instruments,EVALUATION MODULE TPS82085,2,9,"50.88000","0","1","DCS-Control™","Active","DC/DC, Step Down","1, Non-Isolated","-","1.2V","3A","2.5V ~ 6V","Buck","2.4MHz","Fully Populated","Board(s)","TPS82085"
http://www.ti.com/lit/pdf/sluub60,//media.digikey.com/Photos/Texas%20Instr%20Photos/MFG_TPS544C25EVM-681.jpg,296-42293-ND,TPS544C25EVM-681,Texas Instruments,EVALUATION TPS544C25,1,9,"50.88000","0","1","SWIFT™","Active","DC/DC, Step Down","1, Non-Isolated","-","0.95V","30A","4.5V ~ 18V","Buck","500kHz","Fully Populated","Board(s)","TPS544C25"
http://www.ti.com/lit/pdf/snvu511,//media.digikey.com/Photos/Texas%20Instr%20Photos/MFG_LM5165EVM-HD-C50X.jpg,296-44088-ND,LM5165EVM-HD-C50X,Texas Instruments,EVAL BOARD FOR LM5165 HD COT,2,33,"50.88000","0","1","-","Active","DC/DC, Step Down","1, Non-Isolated","-","5V","150mA","3V ~ 65V","Buck","240kHz","Fully Populated","Board(s)","LM5165"
http://www.ti.com/lit/pdf/sluube4,//media.digikey.com/Photos/Texas%20Instr%20Photos/TPS548D22EVM-784.jpg,296-44098-ND,TPS548D22EVM-784,Texas Instruments,EVAL BOARD FOR TPS548,2,33,"50.88000","0","1","SWIFT™","Active","DC/DC, Step Down","1, Non-Isolated","-","1V","40A","5V ~ 16V","Buck","650kHz","Fully Populated","Board(s)","TPS548D22"
http://www.ti.com/lit/pdf/slvuao9,//media.digikey.com/Photos/Texas%20Instr%20Photos/MFG_TPS56C215EVM-762.jpg,296-44099-ND,TPS56C215EVM-762,Texas Instruments,EVAL BOARD FOR TPS56C215,2,0,"50.88000","0","1","SWIFT™, D-CAP2™, Eco-Mode™","Active","DC/DC, Step Down","1, Non-Isolated","-","1.2V","12A","4.5V ~ 17V","Buck","1.2MHz","Fully Populated","Board(s)","TPS56C215"
http://www.ti.com/lit/pdf/snvu526,//media.digikey.com/Photos/Texas%20Instr%20Photos/LM53635LQEVM.JPG,296-44441-ND,LM53635LQEVM,Texas Instruments,EVAL BOARD FOR LM53635L-Q1,2,25,"50.88000","0","1","-","Active","DC/DC, Step Down","1, Non-Isolated","-","5V","3.5A","3.8V ~ 36V","Buck","-","Fully Populated","Board(s)","LM53635L-Q1"
http://www.ti.com/lit/pdf/slvuat2,//media.digikey.com/Photos/Texas%20Instr%20Photos/MFG_TPSM84A21EVM-808.jpg,296-45468-ND,TPSM84A21EVM-808,Texas Instruments,EVAL BOARD FOR TPSM84A21,2,31,"50.88000","0","1","SWIFT™","Active","DC/DC, Step Down","1, Non-Isolated","-","0.6V, 0.8V, 1V, 1.1V or 1.2V","10A","8V ~ 14V","Buck","4MHz","Fully Populated","Board(s)","TPSM84A21"
http://www.ti.com/lit/pdf/snau190,//media.digikey.com/Photos/Texas%20Instr%20Photos/MFG_LM53601MAEVM.jpg,296-46734-ND,LM53601MAEVM,Texas Instruments,EVALUATION MODULE,2,3,"50.88000","0","1","-","Active","DC/DC, Step Down","1, Non-Isolated","-","3.6V","1A","3.8V ~ 36V","Buck","2.1MHz","Fully Populated","Board(s)","LM53601-Q1"
http://www.ti.com/lit/pdf/slvuay4,//media.digikey.com/Photos/Texas%20Instr%20Photos/MFG_TPS563210AEVM-663.jpg,296-46828-ND,TPS563210AEVM-663,Texas Instruments,EVALUATION MODULE,2,7,"50.88000","0","1","D-CAP2™","Active","DC/DC, Step Down","1, Non-Isolated","-","1.05V","3A","4.5V ~ 17V","Buck","650kHz","Fully Populated","Board(s)","TPS563210A"
http://www.ti.com/lit/pdf/slvuay8,//media.digikey.com/Photos/Texas%20Instr%20Photos/MFG_TPS63027EVM-870.jpg,296-46845-ND,TPS63027EVM-870,Texas Instruments,EVALUATION MODULE,2,27,"50.88000","0","1","-","Active","DC/DC, Step Up or Down","1, Non-Isolated","-","3.3V","2A","2.3V ~ 5.5V","Buck-Boost","2.5MHz","Fully Populated","Board(s)","TPS63027"
http://www.ti.com/lit/pdf/sluubb6,//media.digikey.com/Photos/Texas%20Instr%20Photos/MFG_UCC28881EVM-680.jpg,296-46878-ND,UCC28881EVM-680,Texas Instruments,EVALUATION MODULE,2,28,"50.88000","0","1","-","Active","AC/DC, Primary Side","1, Non-Isolated","2.9W","13V","225mA","85 ~ 265 VAC","Buck","-","Fully Populated","Board(s)","UCC28881"
http://www.ti.com/lit/pdf/slvu040,//media.digikey.com/photos/Texas%20Instr%20Photos/TPS6101_EVM-157%20SERIES.JPG,296-12001-ND,TPS61016EVM-157,Texas Instruments,EVAL MOD FOR TPS61016,1,0,"50.88000","0","1","-","Active","DC/DC, Step Up","1, Non-Isolated","-","3.3V","250mA","0.8V ~ 3.3V","Boost","-","Fully Populated","Board(s)","TPS61016"
http://www.ti.com/lit/pdf/slvu058,//media.digikey.com/Photos/Texas%20Instr%20Photos/TPS60500EVM-193.jpg,296-13581-ND,TPS60500EVM-193,Texas Instruments,EVAL MOD FOR TPS60500-60503,1,28,"50.88000","0","1","-","Active","DC/DC, Step Down","1, Non-Isolated","-","1.5V","250mA","1.8V ~ 6.5V","Buck","-","Fully Populated","Board(s)","TPS60500"
http://www.ti.com/lit/pdf/slvu038,//media.digikey.com/Photos/Texas%20Instr%20Photos/TPS62007EVM-168.jpg,296-20619-ND,TPS62007EVM-168,Texas Instruments,EVAL MOD FOR TPS62007,1,0,"50.88000","0","1","-","Active","DC/DC, Step Down","1, Non-Isolated","-","3.3V","600mA","1.8V ~ 5.5V","Buck","-","Fully Populated","Board(s)","TPS62007"
http://www.ti.com/lit/pdf/slvu134,//media.digikey.com/photos/Texas%20Instr%20Photos/TPS63700EVM-139.JPG,296-18730-ND,TPS63700EVM-139,Texas Instruments,EVALUATION MODULE FOR TPS63700,1,42,"50.88000","0","1","-","Active","DC/DC, Negative Inverter","1, Non-Isolated","-","-12V","200mA","2.7V ~ 5.5V","Inverting","1.4MHz","Fully Populated","Board(s)","TPS63700"
http://www.ti.com/lit/pdf/sluu183,//media.digikey.com/Photos/Texas%20Instr%20Photos/MFG_TPS40060EVM.jpg,296-18955-ND,TPS40060EVM,Texas Instruments,EVAL MODULE FOR TPS40060,1,3,"50.88000","0","1","-","Active","DC/DC, Step Down","1, Non-Isolated","-","3.3V","4A","10V ~ 55V","Buck","250kHz","Fully Populated","Board(s)","TPS40060"
http://www.ti.com/lit/pdf/slvu147,//media.digikey.com/photos/Texas%20Instr%20Photos/TPS40200EVM-001.JPG,296-19607-ND,TPS40200EVM-001,Texas Instruments,EVALUATION MODULE FOR TPS40200,1,7,"50.88000","0","1","-","Active","DC/DC, Step Down","1, Non-Isolated","-","3.3V","2.5A","8V ~ 16V","Buck","300kHz","Fully Populated","Board(s)","TPS40200"
http://www.ti.com/lit/pdf/slvu137,//media.digikey.com/photos/Texas%20Instr%20Photos/TPS23750EVM-108.JPG,296-21147-ND,TPS23750EVM-108,Texas Instruments,EVAL MODULE FOR TPS23750 HPA108,1,4,"50.88000","0","1","-","Active","Special Purpose DC/DC, Power Over Ethernet","1, Isolated","9.9W","3.3V","3A","36V ~ 57V","Flyback","-","Fully Populated","Board(s)","TPS23750"
http://www.ti.com/lit/pdf/snva216,//media.digikey.com/photos/National%20Semi%20Photos/LM25575EVAL.jpg,LM25575EVAL-ND,LM25575EVAL,Texas Instruments,BOARD EVALUATION FOR LM25575,1,3,"50.88000","0","1","SIMPLE SWITCHER®","Active","DC/DC, Step Down","1, Non-Isolated","-","5V","1.5A","7V ~ 42V","Buck","300kHz","Fully Populated","Board(s)","LM25575"
http://www.ti.com/lit/pdf/snva139,//media.digikey.com/photos/Texas%20Instr%20Photos/LM3674MF-1.8EV.JPG,LM3674MF-1.8EV-ND,LM3674MF-1.8EV,Texas Instruments,BOARD EVALUATION LM3674MF-1.8,1,6,"50.88000","0","1","-","Active","DC/DC, Step Down","1, Non-Isolated","-","1.8V","600mA","2.7V ~ 5.5V","Buck","2MHz","Fully Populated","Board(s)","LM3674"
http://www.ti.com/lit/pdf/slvu178,//media.digikey.com/Photos/Texas%20Instr%20Photos/TPS62420EVM-167.jpg,296-31425-ND,TPS62420EVM-167,Texas Instruments,EVAL MODULE FOR TPS62420-167,1,0,"50.88000","0","1","-","Active","DC/DC, Step Down","2, Non-Isolated","-","0.6V ~ 6V","1A, 600mA","2.5V ~ 6V","Buck","2.25MHz","Fully Populated","Board(s), Cable(s)","TPS62420"
http://www.ti.com/lit/pdf/slvu161,//media.digikey.com/photos/Texas%20Instr%20Photos/TPS62510EVM-168.JPG,296-31426-ND,TPS62510EVM-168,Texas Instruments,EVAL MODULE FOR TPS62510-168,1,16,"50.88000","0","1","-","Active","DC/DC, Step Down","1, Non-Isolated","-","1.8V","1.5A","1.8V ~ 3.8V","Buck","1.5MHz","Fully Populated","Board(s)","TPS62510"
