Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Main Purpose","Outputs and Type","Power - Output","Voltage - Output","Current - Output","Voltage - Input","Regulator Topology","Frequency - Switching","Board Type","Supplied Contents","Utilized IC / Part"
http://www.linear.com/docs/46133,//media.digikey.com/Photos/Linear%20Tech%20Photos/MFG_DC2154A.jpg,DC2154A-ND,DC2154A,Linear Technology/Analog Devices,EVAL BOARD FOR LTM8056,36,0,"65.00000","0","1","µModule®","Active","DC/DC, Step Up or Down","1, Non-Isolated","-","24V","3A","7V ~ 58V","Buck-Boost","525kHz","Fully Populated","Board(s)","LTM8056"
http://www.vicorpower.com/documents/user_guides/brick/UG_Micro_ElvBrd.pdf,//media.digikey.com/Photos/Vicor%20Corporation/MFG_24646R.jpg,1102-5799-ND,24646R,Vicor Corporation,MICRO MODULE EVALUATION BOARD,34,0,"166.68000","0","1","-","Active","DC/DC Converter","-","-","-","-","-","-","-","Partially Populated","Board(s)","-"
http://www.vicorpower.com/documents/user_guides/brick/UG_Maxi_MiniElvBrd.pdf,//media.digikey.com/Photos/Vicor%20Corporation/MFG_24644R.jpg,1102-5798-ND,24644R,Vicor Corporation,DCDC CONVERTER DEV BOARD,48,0,"219.27000","0","1","-","Active","DC/DC Converter","-","-","-","-","-","-","-","Partially Populated","Board(s)","-"
http://www.transphormusa.com/document/tdhbg2500p100-user-guide/,//media.digikey.com/Photos/Transphorm/MFG_TDHBG2500P100-KIT.jpg,TDHBG2500P100-KIT-ND,TDHBG2500P100-KIT,Transphorm,"2.5KW HB, BUCK OR BOOST EVAL KIT",29,0,"250.00000","0","1","-","Active","DC/DC Converter","1, Non-Isolated","2.5kW","-","16.5A","-","Boost, Buck, Half-Bridge","-","Fully Populated","Board(s), Power Supply","TPH3212PS"
-,//media.digikey.com/Photos/Vicor%20Corporation/MFG_NBM2317D60E1560T0R.jpg,1102-6149-ND,NBM2317D60E1560T0R,Vicor Corporation,NBM2317S60E1560T0R EVAL BOARD,39,0,"349.13000","0","1","VI Chip® NBM™","Active","DC/DC, Step Down","1, Non-Isolated","-","13.5V","60A","38V ~ 60V","Buck","-","Fully Populated","Board(s)","NBM2317x60E1560yzz"
http://www.transphormusa.com/document/tdttp2500p100-kit-user-guide/,//media.digikey.com/Photos/Transphorm/MFG_TDTTP2500P100-KIT.jpg,TDTTP2500P100-KIT-ND,TDTTP2500P100-KIT,Transphorm,2.5KW TOTEM-POLE PFC EVAL KIT,39,0,"559.20000","0","1","-","Active","AC/DC, Primary Side and PFC","1, Non-Isolated","2.5kW","390V","-","85 ~ 265 VAC","-","100kHz","Fully Populated","Board(s)","TPH3212PS"
http://www.st.com/content/ccc/resource/technical/document/data_brief/32/e9/07/c6/47/7a/42/00/CD00169415.pdf/files/CD00169415.pdf/jcr:content/translations/en.CD00169415.pdf,//media.digikey.com/Photos/STMicro%20Photos/steval-isa022v1.jpg,497-5520-ND,STEVAL-ISA022V1,STMicroelectronics,EVAL BOARD 6W POWER SUPPLY,0,0,"Obsolete","0","1","VIPER™","Obsolete","AC/DC, Primary Side","2, Isolated","5.5W","5V, 15V","500mA, 200mA","90 ~ 264 VAC","Flyback","60kHz","Fully Populated","Board(s)","VIPer12A"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2465_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2465.jpg,1528-1349-ND,2465,Adafruit Industries LLC,BOARD PWRBOOST1000 5V LIPO USB,206,0,"19.95000","0","1","-","Active","DC/DC, Step Up","1, Non-Isolated","-","5.2V","1A","3.7V","Boost","700kHz","Fully Populated","Board(s)","TPS61090"
-,//media.digikey.com/Photos/Vicor%20Corporation/PI3740-00-EVAL1.JPG,1102-5536-ND,PI3740-00-EVAL1,Vicor Corporation,EVALUATION BOARD FOR PI3740-00-L,107,0,"40.30000","0","1","Cool-Power®","Active","DC/DC, Step Up or Down","-","60W","24V","-","8V ~ 60V","Buck-Boost","-","Fully Populated","Board(s)","PI3740-00"
http://www.vicorpower.com/documents/datasheets/Picor/ds_pi3749.pdf,//media.digikey.com/Photos/Vicor%20Corporation/PI3749-00-EVAL1.jpg,1102-5405-ND,PI3749-00-EVAL1,Vicor Corporation,PICOR COOL-POWER EVAL BD,103,0,"40.30000","0","1","Cool-Power®","Active","DC/DC, Step Up or Down","1, Non-Isolated","180W","12V ~ 34V","7.5A","16V ~ 34V","Buck-Boost","800kHz","Fully Populated","Board(s)","PI3749-00"
http://www.linear.com/docs/58725,//media.digikey.com/Photos/Linear%20Tech%20Photos/MFG_DC2328A.JPG,DC2328A-ND,DC2328A,Linear Technology/Analog Devices,DEMO BOARD FOR LTM4651,27,110,"65.00000","0","1","µModule®","Active","DC/DC, Negative Inverter","1, Non-Isolated","-","-24V","2A","12V ~ 34V","Inverting","1.2MHz","Fully Populated","Board(s)","LTM4651"
http://www.ti.com/lit/pdf/snva466,//media.digikey.com/Photos/Texas%20Instr%20Photos/LM5117EVAL%5ENOPB.JPG,LM5117EVAL/NOPB-ND,LM5117EVAL/NOPB,Texas Instruments,BOARD EVAL FOR LM5117,38,224,"77.88000","0","1","-","Active","DC/DC, Step Down","1, Non-Isolated","-","12V","9A","15V ~ 55V","Buck","50kHz ~ 750kHz","Fully Populated","Board(s)","LM5117"
https://www.silabs.com/documents/public/data-sheets/si3406x-datasheet.pdf,//media.digikey.com/Photos/Silicon%20Labs%20Photos/MFG_SI34061ISOC4-KIT.jpg,336-4278-ND,SI34061ISOC4-KIT,Silicon Labs,EVAL KIT FOR SI34061 ISOLATED CL,32,0,"92.50000","0","1","-","Active","Special Purpose DC/DC, Power Over Ethernet","1, Isolated","-","-","-","-","-","-","Fully Populated","Board(s)","Si3406"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3661_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3661.jpg,1528-2445-ND,3661,Adafruit Industries LLC,MINIBOOST 5V AP3602A,123,0,"2.95000","0","1","-","Active","DC/DC, Step Up","1, Non-Isolated","-","5V","100mA","3V ~ 5V","Boost","-","Fully Populated","Board(s)","AP3602A"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1385_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1385.jpg,1528-2004-ND,1385,Adafruit Industries LLC,UBEC DC/DC STEP-DOWN (BUCK) CONV,235,0,"9.95000","0","1","-","Active","DC/DC, Step Down","1, Non-Isolated","-","5V","3A","6V ~ 16V","Buck","-","Fully Populated","Board(s)","MP2307"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2190_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2190.jpg,1528-1208-ND,2190,Adafruit Industries LLC,BOARD CONVERTER 5V USB BUCK BST,221,0,"9.95000","0","1","-","Active","DC/DC, Step Up or Down","1, Non-Isolated","-","5.2V","1A","3V ~ 12V","Buck-Boost","2.4MHz","Fully Populated","Board(s)","TPS63060"
https://learn.adafruit.com/downloads/pdf/adafruit-powerboost.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1903.jpg,1528-1058-ND,1903,Adafruit Industries LLC,5V USB BOOST 500MA FROM 1.8V,112,0,"9.95000","0","1","-","Active","DC/DC, Step Up","1, Non-Isolated","-","5.2V","500mA","1.8V ~ 5V","Boost","700kHz","Fully Populated","Board(s)","TPS61090"
https://learn.adafruit.com/downloads/pdf/adafruit-powerboost-1000-basic.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2030.jpg,1528-1060-ND,2030,Adafruit Industries LLC,5V USB BOOST 1000MA FROM 1.8V,174,0,"14.95000","0","1","-","Active","DC/DC, Step Up","1, Non-Isolated","-","5.2V","1A","1.8V ~ 5V","Boost","600kHz","Fully Populated","Board(s)","TPS61030"
http://www.ti.com/lit/pdf/snvu330,//media.digikey.com/Photos/Texas%20Instr%20Photos/LM27403EVM-POL600.jpg,296-37167-ND,LM27403EVM-POL600,Texas Instruments,BOARD EVAL LM27403,34,5,"82.03000","0","1","-","Active","DC/DC, Step Down","1, Non-Isolated","-","1.8V","30A","4.5V ~ 20V","Buck","600kHz","Fully Populated","Board(s)","LM27403"
